gate,n_c,input_name,group,is_code_input,counts_for_L2,P_logical_initial,P_logical,P_g_even_nonlogical,P_g_odd,P_e_even,P_e_odd,P_trunc_edge,partition_sum,P_target,leaked_mass
X,24,a|-Z_L>,E,False,False,0.0,3.6977477416046985e-05,0.14874230991536136,0.2420224893709864,0.24096538523614963,0.3682328380001364,6.531999089421797e-05,1.0000000000000497,,
X,24,"|+Z_L,g>",code,True,,1.0,0.9974760025817458,0.0007058217201076911,0.0005846805729984876,0.0006857300668665959,0.0005477650583290663,5.549903729166863e-05,1.0000000000000477,0.9974760025817458,0.0025239974182541536
X,24,"|-Z_L,g>",code,True,,1.0,0.9973629064705803,0.0004899869591247219,0.0006863712575916205,0.0006441245064982786,0.0008166108062463725,0.00015270510140372984,1.0000000000000413,0.9973629064705803,0.002637093529419654
Y,24,"|e,0>",A,False,True,0.0,1.3902339445307066e-05,0.0038542642067600245,0.1794153259293854,0.4436665742363153,0.3730499332881163,1.5832117256679122e-06,1.0000000000000222,,
Y,24,"|e,1>",A,False,True,0.0,3.7227603951090414e-05,0.1966365113933219,0.20632028780608427,0.38795347523573526,0.20905249796094755,9.789927634448887e-06,1.0000000000000402,,
Y,24,"|e,2>",A,False,True,0.0,1.9907012596385927e-05,0.08110992224123631,0.1643339142388764,0.47942420761571436,0.2751120488916286,1.7530679365545147e-06,1.000000000000052,,
Y,24,"|g,1>",B,False,True,0.0,8.095615717269579e-06,0.06765372865002636,0.5101799166151991,0.19160532966113247,0.230552929457967,1.6852977486914382e-05,1.0000000000000422,,
Y,24,"|g,3>",B,False,True,0.0,4.720639225011994e-06,0.2924904865285741,0.3301186268621283,0.17596456471301192,0.20142160125713393,0.0004394028962827283,1.0000000000000733,,
Y,24,"|g,5>",B,False,True,0.0,1.700463955547143e-05,0.10756497015762113,0.33170543280442444,0.23675785365878166,0.32395473873969993,0.0007769613878297177,1.0000000000000826,,
Y,24,"|g,8>_orth",C,False,True,1.1605143610888812e-35,0.00010726096071582687,0.36493130900469806,0.23230542022802458,0.2785244908897463,0.12413151891691937,0.003640972448496101,1.0000000000001041,,
Y,24,"|g,6>_orth",C,False,True,1.1467779713135065e-36,4.913182588542133e-06,0.2768845535752596,0.236311999535303,0.2569327229927235,0.22986581071420709,0.000903586534565897,1.0000000000000817,,
Y,24,"|g,4>_orth",C,False,True,6.538696206366926e-34,0.00013571089574316574,0.30243913960267044,0.2282679194181888,0.1794374276286122,0.2897198024548419,7.412540697254112e-05,1.0000000000000566,,
Y,24,a|+Z_L>,E,False,False,0.0,1.3389150513569192e-05,0.2995721258987751,0.34219175961401765,0.15960690167814787,0.19861582365862213,0.0014065884332696928,1.0000000000000764,,
Y,24,a|-Z_L>,E,False,False,0.0,1.7948394025260118e-05,0.07950824022569865,0.39497906970989693,0.17060667834280682,0.3548880633276133,0.0005362783766884857,1.000000000000041,,
Y,24,"|+Z_L,g>",code,True,,1.0,0.9981704273716331,0.0006355306442759057,0.0005638956424563226,0.00028326733914780394,0.00034687900253224316,0.00022274685247694503,1.0000000000000453,0.9981704273716331,0.0018295726283669156
Y,24,"|-Z_L,g>",code,True,,1.0,0.9971328915759187,0.0008815950697745878,0.001052570458107429,0.0005261728658271733,0.0004067700304520379,0.0001481919285728484,1.00000000000008,0.9971328915759187,0.0028671084240813327
H,24,"|e,0>",A,False,True,0.0,1.0538736741003124e-05,0.06762799043532924,0.016023998270637642,0.7248948419111535,0.19144263064616107,1.3207319346086495e-13,1.0000000000000224,,
H,24,"|e,1>",A,False,True,0.0,6.446963453573248e-06,0.2203366708806785,0.04462472971454446,0.2826734052167568,0.4523587472246141,4.8685904249099906e-12,1.0000000000000475,,
H,24,"|e,2>",A,False,True,0.0,2.382043488632962e-05,0.09330206088653714,0.572383341415242,0.16557320203620385,0.16871757522720332,2.2832619371751895e-10,1.0000000000000728,,
H,24,"|g,1>",B,False,True,0.0,1.1206223395864515e-05,0.13750843751652894,0.1422443708846479,0.24372766842672583,0.47650831694876683,1.0542868447351213e-13,1.0000000000000653,,
H,24,"|g,3>",B,False,True,0.0,7.576041564853696e-06,0.17213607512091553,0.1585922293259127,0.39917695845750384,0.27008716105419456,4.139888399484712e-11,1.0000000000000915,,
H,24,"|g,5>",B,False,True,0.0,4.6184015719329366e-05,0.12598168930943288,0.15810979768963582,0.4740301116785047,0.24183221730678853,2.6140954964254847e-09,1.0000000000000813,,
H,24,"|g,8>_orth",C,False,True,1.1605143610888812e-35,0.0005769388607418255,0.3750755161238773,0.26944536281146225,0.19338850684263986,0.1615136753613913,2.9042542455009026e-07,1.0000000000001126,,
H,24,"|g,6>_orth",C,False,True,1.1467779713135065e-36,5.629025219893934e-05,0.2489694196525014,0.30336943811357403,0.30061897306806934,0.14698587891373352,1.5734277622524503e-07,1.0000000000000773,,
