Gate,Probe,Group,P_logical_initial,P_logical,P_g_even_nonlogical,P_g_odd,P_e_even,P_e_odd
X,"|g,4>_orth",C,6.538696206366926e-34,0.00031025347311320695,0.1934634539879244,0.38537261836940145,0.08265516943842,0.33819850473114477
Y,"|e,0>",A,0.0,1.3902339445307066e-05,0.0038542642067600245,0.1794153259293854,0.4436665742363153,0.3730499332881163
Y,"|e,1>",A,0.0,3.7227603951090414e-05,0.1966365113933219,0.20632028780608427,0.38795347523573526,0.20905249796094755
Y,"|e,2>",A,0.0,1.9907012596385927e-05,0.08110992224123631,0.1643339142388764,0.47942420761571436,0.2751120488916286
Y,"|g,1>",B,0.0,8.095615717269579e-06,0.06765372865002636,0.5101799166151991,0.19160532966113247,0.230552929457967
Y,"|g,3>",B,0.0,4.720639225011994e-06,0.2924904865285741,0.3301186268621283,0.17596456471301192,0.20142160125713393
Y,"|g,5>",B,0.0,1.700463955547143e-05,0.10756497015762113,0.33170543280442444,0.23675785365878166,0.32395473873969993
Y,"|g,8>_orth",C,1.1605143610888812e-35,0.00010726096071582687,0.36493130900469806,0.23230542022802458,0.2785244908897463,0.12413151891691937
Y,"|g,6>_orth",C,1.1467779713135065e-36,4.913182588542133e-06,0.2768845535752596,0.236311999535303,0.2569327229927235,0.22986581071420709
Y,"|g,4>_orth",C,6.538696206366926e-34,0.00013571089574316574,0.30243913960267044,0.2282679194181888,0.1794374276286122,0.2897198024548419
Z,"|e,0>",A,0.0,5.263081415442658e-07,1.8625044062209982e-06,5.395690758093912e-07,0.9999935545328419,3.51708556055691e-06
Z,"|e,1>",A,0.0,4.718408165264217e-07,1.5031855781777205e-06,0.2247939103078987,4.62896141814201e-05,0.7751578250516096
Z,"|e,2>",A,0.0,8.629421234747276e-07,1.972883619129007e-07,3.769831729212028e-05,0.9998567839745891,0.0001044574776549114
Z,"|g,1>",B,0.0,2.696047974122172e-07,1.5098595259425045e-07,0.775198312843254,2.3241790608336177e-05,0.22477802477548897
Z,"|g,3>",B,0.0,1.0292015855783934e-06,3.524026748733356e-07,0.6698488591726074,5.4664633763746964e-05,0.33009509458944875
Z,"|g,5>",B,0.0,3.429692484598848e-07,6.603325662300487e-07,0.6240098489487647,0.00010173540181127269,0.3758874123476997
Z,"|g,8>_orth",C,1.1605143610888812e-35,5.046210726791062e-06,0.9999494189828024,4.680738720071282e-06,1.6464686771322164e-05,2.4389380991994006e-05
Z,"|g,6>_orth",C,1.1467779713135065e-36,4.4311044336271493e-07,0.9997286911777257,6.65114962362668e-07,0.00026719498269869266,3.0056142317858853e-06
Z,"|g,4>_orth",C,6.538696206366926e-34,4.0407625605421355e-08,0.9999956913188547,5.590466777495548e-07,2.2881613204362e-06,1.4210655439661536e-06
H,"|e,0>",A,0.0,1.0538736741003124e-05,0.06762799043532924,0.016023998270637642,0.7248948419111535,0.19144263064616107
H,"|e,1>",A,0.0,6.446963453573248e-06,0.2203366708806785,0.04462472971454446,0.2826734052167568,0.4523587472246141
H,"|e,2>",A,0.0,2.382043488632962e-05,0.09330206088653714,0.572383341415242,0.16557320203620385,0.16871757522720332
H,"|g,1>",B,0.0,1.1206223395864515e-05,0.13750843751652894,0.1422443708846479,0.24372766842672583,0.47650831694876683
H,"|g,3>",B,0.0,7.576041564853696e-06,0.17213607512091553,0.1585922293259127,0.39917695845750384,0.27008716105419456
H,"|g,5>",B,0.0,4.6184015719329366e-05,0.12598168930943288,0.15810979768963582,0.4740301116785047,0.24183221730678853
H,"|g,8>_orth",C,1.1605143610888812e-35,0.0005769388607418255,0.3750755161238773,0.26944536281146225,0.19338850684263986,0.1615136753613913
H,"|g,6>_orth",C,1.1467779713135065e-36,5.629025219893934e-05,0.2489694196525014,0.30336943811357403,0.30061897306806934,0.14698587891373352
H,"|g,4>_orth",C,6.538696206366926e-34,1.8590109976993573e-05,0.19092155719833795,0.7007956251404343,0.036116594261279875,0.07214763329001266
T,"|e,0>",A,0.0,7.737013727945383e-09,2.7378885998563273e-08,2.327457594553517e-06,0.9999948361193197,2.8013071922462236e-06
T,"|e,1>",A,0.0,1.7000494856704173e-08,4.4043763085506885e-08,0.03364795253573609,1.0668068616222445e-05,0.9663413183515217
T,"|e,2>",A,0.0,9.411809748610136e-08,2.151959011776174e-08,1.9605700150001267e-06,0.9999645268947123,3.3396897572782345e-05
