gate,n_c,trained,F_pedersen,F_old_plus_d,F_delta,L1,unitarity_err_2x2,basis_orthonormality_err
H,28,False,0.9983311138731373,0.9988867513317601,0.0005556374586227486,0.0016669123758682458,0.0026164358555057555,3.1401849173675503e-16
T,28,False,0.9997902206629689,0.9998599379371936,6.971727422477869e-05,0.00020915182267422505,0.00036128634233163087,3.1401849173675503e-16
I,30,False,0.9995242331471837,0.9996827592802161,0.00015852613303235508,0.0004755783990972873,0.0007407076608489728,3.1401849173675503e-16
X,30,False,0.9974112590218057,0.9982708063747033,0.0008595473528976161,0.0025786420586930703,0.00366882538667285,3.1401849173675503e-16
Y,30,False,0.9976502294123133,0.9984321335635634,0.0007819041512501235,0.0023457124537504814,0.0035456829219011796,3.1401849173675503e-16
Z,30,False,0.9992392049102445,0.9994927573693194,0.00025355245907487944,0.0007606573772248604,0.0013283444180488852,3.1401849173675503e-16
H,30,False,0.9983311264157025,0.9988867596911338,0.0005556332754312887,0.0016668998262940882,0.0026164257890797862,3.1401849173675503e-16
T,30,False,0.9997902206629713,0.9998599379371952,6.971727422389051e-05,0.00020915182267167154,0.000361286342312518,3.1401849173675503e-16
I,32,False,0.9995242331471595,0.9996827592802001,0.00015852613304057073,0.0004755783991213791,0.0007407076608606353,3.1401849173675503e-16
X,32,False,0.9974111982852697,0.9982707659743827,0.0008595676891129944,0.0025787030673389832,0.0036689042184262157,3.1401849173675503e-16
Y,32,False,0.9976503280458345,0.9984321993249985,0.0007818712791639593,0.002345613837491989,0.0035455684343344883,3.1401849173675503e-16
Z,32,False,0.9992392049102022,0.9994927573692912,0.0002535524590889793,0.0007606573772672709,0.0013283444180932197,3.1401849173675503e-16
H,32,False,0.9983311272870736,0.9988867602718144,0.000555632984740817,0.001666898954221896,0.002616424951734261,3.1401849173675503e-16
T,32,False,0.9997902206629533,0.9998599379371832,6.971727422988572e-05,0.00020915182268965715,0.0003612863423390407,3.1401849173675503e-16
